spot_name,index spot,weather,temperature,traffic_time,satisfaction
Préfontaine,5,0,35.4,11.4,0.0
Boucherville,5,0,35.4,11.4,0.0
Taz,5,0,35.4,11.4,6.0
Spin,5,0,35.4,11.4,6.0
Saint Jérome,5,0,35.4,11.4,0.0
Saint Sauveur,5,0,35.4,11.4,0.0
Assomption,5,0,35.4,11.4,0.0
Benny,5,0,35.4,11.4,0.0
Dorval,5,0,35.4,11.4,0.0
Magog,5,0,35.4,11.4,0.0
Berthierville,5,0,35.4,11.4,0.0
Ahuntsic,6,0,9.6,27.2,0.0
VanHorne,6,0,9.6,27.2,0.0
Verdun,6,0,9.6,27.2,0.0
Lasalle,6,0,9.6,27.2,0.0
Préfontaine,6,0,9.6,27.2,0.0
Boucherville,6,0,9.6,27.2,0.0
Taz,6,0,9.6,27.2,9.0
Spin,6,0,9.6,27.2,8.0
Saint Jérome,6,0,9.6,27.2,0.0
Saint Sauveur,6,0,9.6,27.2,0.0
Assomption,6,0,9.6,27.2,0.0
Benny,6,0,9.6,27.2,0.0
Dorval,6,0,9.6,27.2,0.0
Magog,6,0,9.6,27.2,0.0
Berthierville,6,0,9.6,27.2,0.0
Ahuntsic,7,3,7.0,19.6,6.0
VanHorne,7,3,7.0,19.6,4.0
Verdun,7,3,7.0,19.6,2.0
Lasalle,7,3,7.0,19.6,6.0
Préfontaine,7,3,7.0,19.6,5.0
Boucherville,7,3,7.0,19.6,5.0
Taz,7,3,7.0,19.6,4.0
Spin,7,3,7.0,19.6,4.0
Saint Jérome,7,3,7.0,19.6,7.0
Saint Sauveur,7,3,7.0,19.6,9.0
Assomption,7,3,7.0,19.6,7.0
Benny,7,3,7.0,19.6,6.0
Dorval,7,3,7.0,19.6,6.0
Magog,7,3,7.0,19.6,9.0
Berthierville,7,3,7.0,19.6,9.0
Ahuntsic,8,0,26.9,20.3,0.0
VanHorne,8,0,26.9,20.3,0.0
Verdun,8,0,26.9,20.3,0.0
Lasalle,8,0,26.9,20.3,0.0
Préfontaine,8,0,26.9,20.3,0.0
Boucherville,8,0,26.9,20.3,0.0
Taz,8,0,26.9,20.3,7.0
Spin,8,0,26.9,20.3,6.0
Saint Jérome,8,0,26.9,20.3,0.0
Saint Sauveur,8,0,26.9,20.3,0.0
Assomption,8,0,26.9,20.3,0.0
Benny,8,0,26.9,20.3,0.0
Dorval,8,0,26.9,20.3,0.0
Magog,8,0,26.9,20.3,0.0
Berthierville,8,0,26.9,20.3,0.0
Ahuntsic,9,2,22.1,10.0,6.0
VanHorne,9,2,22.1,10.0,4.0
Verdun,9,2,22.1,10.0,2.0
Lasalle,9,2,22.1,10.0,6.0
Préfontaine,9,2,22.1,10.0,5.0
Boucherville,9,2,22.1,10.0,5.0
Taz,9,2,22.1,10.0,4.0
Spin,9,2,22.1,10.0,3.0
Saint Jérome,9,2,22.1,10.0,8.0
Saint Sauveur,9,2,22.1,10.0,9.0
Assomption,9,2,22.1,10.0,8.0
Benny,9,2,22.1,10.0,6.0
Dorval,9,2,22.1,10.0,6.0
Magog,9,2,22.1,10.0,9.0
Berthierville,9,2,22.1,10.0,9.0
